Symbol,EngName,ChtName,PrevClose,Exchange,Currency,LotSize
00151,WANT WANT CHINA,дд░ъйЇйЇ,6.24,SEHK,HKD,1000
00152,SHENZHEN INT'L,▓`ж`░ъ╗┌,10.22,SEHK,HKD,500
00153,CHINA SAITE,дд░ъ┴╔пS,0.9,SEHK,HKD,2000
00154,BEIJING DEV(HK),е_и╩╡oоiб]н╗┤фб^,1.59,SEHK,HKD,1000
00155,CHINA SOLAR,дд░ъ╖╜║Z,0.18,SEHK,HKD,10000
00156,LIPPO CHINA RES,дO─_╡╪╝э,0.25,SEHK,HKD,10000
00157,NATURAL BEAUTY,ж█╡Mм№,0.57,SEHK,HKD,10000
00158,MELBOURNE ENT,╕Uи╣зы╕ъ,127,SEHK,HKD,500
00159,BROCKMAN MINING,ем╡▄зJ╕U─q╖~,0.162,SEHK,HKD,4000
00160,HON KWOK LAND,║~░ъ╕m╖~,2.59,SEHK,HKD,2000
00161,AVIC IHL,ддпш░ъ╗┌▒▒к╤,4.22,SEHK,HKD,2000
00162,CENTURY GINWA,е@мЎкўкс,1.39,SEHK,HKD,2000
00163,EMPEROR INT'L,н^м╙░ъ╗┌,1.36,SEHK,HKD,2000
00164,REXGLOBAL ENT,▒s└┌оT╝╓,0.3,SEHK,HKD,25000
00165,CHINA EB LTD,дд░ъе·дj▒▒к╤,14.26,SEHK,HKD,2000
00166,NEWTIMES ENERGY,╖sо╔еNпр╖╜,0.191,SEHK,HKD,2000
00167,IDT INT'L,IDT INT'L,0.27,SEHK,HKD,2000
00168,TSINGTAO BREW,лCоq░р░sк╤еў,36.9,SEHK,HKD,2000
00169,WANDA HOTEL DEV,╕U╣F░sй▒╡oоi,1.06,SEHK,HKD,1000
00170,CHINA ASSETS,дд░ъ╕ъе╗,3.69,SEHK,HKD,5000
00171,SILVER GRANT,╗╚л╪░ъ╗┌,1.1,SEHK,HKD,2000
00172,GOLDBOND GROUP,кў║]╢░╣╬,0.34,SEHK,HKD,10000
00173,K. WAH INT'L,╣┼╡╪░ъ╗┌,3.37,SEHK,HKD,1000
00174,GEMINI INV,▓▒мvзы╕ъ,1.05,SEHK,HKD,2000
00175,GEELY AUTO,жNзQиTио,2.69,SEHK,HKD,5000
00176,UNITED PACIFIC,┴pд╙дu╖~,0.65,SEHK,HKD,2000
00177,JIANGSU EXPRESS,ж┐─м╣ч║н░к│tд╜╕Ї,8.5,SEHK,HKD,2000
00178,SA SA INT'L,▓я▓я░ъ╗┌,3.07,SEHK,HKD,2000
00179,JOHNSON ELEC H,╝wйў╣q╛ў▒▒к╤,25.55,SEHK,HKD,500
00180,KADER HOLDINGS,╢}╣F╢░╣╬,0.53,SEHK,HKD,2000
00181,FUJIAN HOLDINGS,╗╘┤ф▒▒к╤,0.405,SEHK,HKD,20000
00182,CONCORD NE,иєжX╖sпр╖╜,0.455,SEHK,HKD,10000
00183,WINFULL GP,з╗╜ў╢░╣╬,0.34,SEHK,HKD,8000
00184,KECK SENG INV,┐Eжизы╕ъ,6.9,SEHK,HKD,2000
00185,HENG FAI ENT,∙┌╜ўе°╖~▒▒к╤,0.164,SEHK,HKD,10000
